"","x"
"1",0.598425873120161
"2",3.54439192484735
"3",3.09359330872397
"4",1.30050550812
"5",-1.05161518752244
"6",-2.82300573915736
"7",-4.93959693953384
"8",-2.1792254479597
"9",2.30744288457008
"10",1.13979396365542
"11",-0.790457113121601
"12",-3.14468493486356
"13",-4.207529685473
"14",-1.30713598833711
"15",-0.675602355491461
"16",0.448596438012103
"17",3.2895137996804
"18",1.01278662491426
"19",1.00502763310877
"20",1.65155662524384
"21",3.48243811250257
"22",4.1831645175038
"23",4.69543631627998
"24",5.52559169106937
"25",-0.155797080838292
"26",-0.987907402467108
"27",-5.21630284409087
"28",-4.87795134380429
"29",-1.63617510945746
"30",-1.15004189920673
"31",-1.48768312507385
"32",-2.91274826755601
"33",-3.74425857949925
"34",-1.52859931684871
"35",-0.557017565173217
"36",1.62946239275595
"37",0.731214459107523
"38",0.753383399701682
"39",0.59298414057998
"40",1.11216031403252
"41",0.303254333447835
"42",0.949258969007317
"43",-0.935845774878964
"44",1.28405247872634
"45",1.82453962131502
"46",2.84111438859691
"47",2.21733672278075
"48",0.125534666004657
"49",0.213911055778465
"50",1.00394854427813
"51",0.216220437754854
"52",-1.10682586614505
"53",0.989676883487074
"54",0.745031438831695
"55",0.0902833479956344
"56",-0.584059471567532
"57",-3.39584846996386
"58",-2.04662200056023
"59",-1.47900930235041
"60",-0.884782251242973
"61",-0.90366956181012
"62",0.316479165583853
"63",0.058455457634594
"64",-0.70116694085704
"65",0.0309562572143679
"66",-0.356527486995761
"67",-0.191036281020449
"68",-2.05234512275153
"69",-0.914816437157901
"70",1.10747377683931
"71",2.24360127693077
"72",1.97660320490999
"73",0.788192552483541
"74",1.15837895683611
"75",1.69748235109549
"76",0.159200502425921
"77",0.56608715829824
"78",2.46085105034987
"79",3.35060508395277
"80",2.03170867437223
"81",-1.07619680033922
"82",-1.10024912854562
"83",-1.29056960637295
"84",-1.10673601750818
"85",-0.559090349663626
"86",0.0195167939782248
"87",0.5355338370189
"88",-3.1841890993934
"89",-3.7415091632568
"90",-0.795257369557626
"91",0.343930554866536
"92",-1.38300084041704
"93",-2.37029511448188
"94",0.317562999569546
"95",0.335791560275653
"96",1.19732288755019
"97",0.972555371405086
"98",1.84898437909075
"99",-0.172737042677833
"100",0.19543043411154
"101",0.313453796065923
"102",-0.127902735363832
"103",0.999747428961655
