Indicators,Positive/Negative Impact
AC.production,Positive
Agri.export,Positive
Brazil_GDP,Positive
C.cards.ourstanding,Positive
Capex_plan_nonplan,Positive
Capital.goods.import,Positive
cargo.traffic,Positive
China_GDP,Positive
Corporate.Credit,Positive
Corporate.Salaries,Positive
Currency_reserve,Positive
CV_Domestic_Sales_goods,Positive
Diesel_sales,Positive
DowJones,Positive
Electricity.Consumption,Positive
EU_GDP,Positive
Exports_mer,Positive
FII_Total,Positive
Foreign_currency_purchase,Positive
Fridge.production,Positive
Govt_exp,Positive
Govt_non_tax,Positive
Govt_tax_rev,Positive
housing.loan,Positive
IIP,Positive
IIP_Basic.goods,Positive
IIP_Capital.goods,Positive
IIP_Consumer.durables,Positive
IIP_Consumer.non..durables,Positive
IIP_Intermediate.goods,Positive
IIP_Manufacturing,Positive
IIP_Mining...quarrying,Positive
Ind.US.Yield.Diff,Positive
Investment.projects..completed,Positive
Japan_GDP,Positive
Motorcycle_Sales,Positive
Net.profit.growth,Positive
Netsales.Growth,Positive
New.investment..projects.announced,Positive
Non-POL_exp,Positive
Non.oil.Gold..Import,Positive
Petrol_Sales,Positive
Projects.Under.implementation,Positive
pv.sales,Positive
Rail_freight,Positive
Rainfall,Positive
RBI_realty_index,Positive
Reserve_money,Positive
Rural.wage,Positive
Scooters_Sales,Positive
Sensex,Positive
Service_Exports,Positive
SouthAfrica_GDP,Positive
Tractor_Domestic_Sales,Positive
Transactions..Rs..Mil.,Positive
Transfer.to.states,Positive
Meat_prod,Positive
US_GDP,Positive
US_Import,Positive
Milk_related_pdn,Positive
World_food_index,Positive
Brent_crude,Negative
CPI,Negative
CPI_NON_food_oil,Negative
Diesel_price,Negative
Foreign_currency_sales,Negative
Global_metal_mineral,Negative
GoldUSD.Troy,Negative
Govt_int_payment,Negative
Lending_Rate,Negative
Petrol_price,Negative
Repo_rate,Negative
Rupees.per.US.dollar,Negative
Service_Import,Negative
steel.price,Negative
Time.deposits.with..banks,Negative
WPI,Negative
WPI_Manufacturing,Negative
WPI_Non_food,Negative
Liquidity_index,Negative
